feature,chi2,pvalue
the union,225.1025599195845,3.7865408519120485e-26
her sister,224.04808375818993,5.819062696739564e-26
and voyages,223.13337588479064,8.444402832144366e-26
solomon mines,222.53546883088168,1.0769491554125294e-25
van,221.9507699005102,1.3659221526518235e-25
recollections,221.5441232437422,1.611330033239923e-25
tbe spirit,220.68814592671288,2.2810544524256667e-25
of civilization,220.6178313245685,2.347089537202365e-25
sorrows of,220.1399386834929,2.8493213149399613e-25
den he,220.110241434143,2.8838531393682947e-25
the province,220.02474624683137,2.985614799797139e-25
naval officer,218.89393312768576,4.721808425594098e-25
recollections of,218.31934673522886,5.958965542533408e-25
trouble in,217.44677992523847,8.482549561770481e-25
butler,216.9523399497073,1.0360048629103002e-24
snow,216.75153074899956,1.123609673979109e-24
province,214.468883791148,2.8236600669248997e-24
first lieutenant,214.0958709679901,3.281816875167447e-24
the tree,213.79219192749122,3.7090129052028275e-24
travels in,213.78419846296256,3.720976806672845e-24
new york,213.64083030162686,3.942212366361898e-24
personal history,212.58427009298188,6.032081782326204e-24
of chinese,212.46040623793277,6.340288606227171e-24
mr,210.39838365998202,1.4519252844904345e-23
mrs grant,209.97165871053173,1.723075249111463e-23
black arrow,209.85381609967217,1.8064782130778982e-23
my aunt,209.6799039858249,1.936972890278815e-23
and shadows,209.5925294927898,2.0060396983378503e-23
york,209.47177607085044,2.105551131903306e-23
dan,209.38866377666469,2.1768878725742956e-23
labor,208.34962068916582,3.300807218917805e-23
idol,206.5600663482906,6.752540147200241e-23
and experience,205.08028882152536,1.2189969914578313e-22
said dan,204.73722888990116,1.39768727433486e-22
ship company,204.37158076507777,1.6169683411175724e-22
territory of,204.3416346067218,1.636378482758654e-22
cabin,203.49224549579677,2.29505262458019e-22
the renowned,203.4784662539142,2.3076748172585378e-22
at seventy,203.37427717120056,2.4053819308326325e-22
groves,202.89916018670803,2.90589582828528e-22
voyages of,202.5286764262288,3.3671509322163387e-22
desert drama,201.36076429599967,5.355081725426471e-22
the indians,200.983108163266,6.221005459542678e-22
david,200.96410112352422,6.268099656557991e-22
by lights,200.9186128938344,6.382254866274983e-22
reverend gentleman,200.67987679700548,7.016236326587237e-22
state room,200.62260455486776,7.177436367220705e-22
writings,200.0950775312337,8.847117797634962e-22
king solomon,199.71233905848086,1.029592122586631e-21
vain fortune,199.5373546244344,1.103485151207408e-21
an elevation,199.31042658871888,1.2072385327901628e-21
the brook,199.23035657826205,1.2461221444048677e-21
about feet,199.13762471672348,1.2927170361970627e-21
connection with,198.78361862150422,1.4871268419541283e-21
governor,198.3714588417358,1.7504601467937023e-21
car,197.18212696081144,2.800594939074843e-21
united,196.78977936146183,3.2697116115355534e-21
she said,196.36761273947084,3.862255780866964e-21
his fact,195.7520486417065,4.9230555518123454e-21
big,195.65550552642034,5.113949223492887e-21
st priest,195.28391125632513,5.920087824849126e-21
dead life,194.56014399362925,7.87148778364581e-21
range,194.40739494192277,8.358989374399693e-21
at height,194.35615896084573,8.529157596931084e-21
bowl,194.23585455059572,8.94241190691772e-21
ic king,193.75573055148664,1.0800108028104336e-20
ain,193.003555778271,1.451243611497258e-20
an lady,192.75705953753035,1.598676067199847e-20
ic,191.6207746638075,2.496173608556627e-20
states and,191.23215321441901,2.906614519913476e-20
for justice,189.8775396178443,4.9379729980528334e-20
well beloved,189.78702614094175,5.115779169813558e-20
union,188.9851536937953,6.997250814814903e-20
eight years,188.34653523334495,8.977131738161793e-20
trail,187.81084840752462,1.106185971700635e-19
sir charles,187.58854556269063,1.2062640701072547e-19
maybe,187.27204125159966,1.3645024884964876e-19
lot of,186.99349791479395,1.5207745562067347e-19
an she,186.97052906649307,1.5344299732940723e-19
constitution,186.50496100147814,1.8391171143423916e-19
